Link Name1,Start,End,Duration,Handoff
0_0/0_0_0 to AllUsers/Transmitter1,0,41,41,False
0_0/0_0_0 to AllUsers/Transmitter1,172,328,156,False
6_1/6_1_0 to AllUsers/Transmitter1,1088,1178,90,False
6_1/6_1_0 to AllUsers/Transmitter1,1207,1285,78,False
6_1/6_1_0 to AllUsers/Transmitter1,1305,1377,72,False
6_1/6_1_0 to AllUsers/Transmitter1,1421,1511,90,False
7_0/7_0_0 to AllUsers/Transmitter1,1881,1954,73,False
7_0/7_0_0 to AllUsers/Transmitter1,1976,2057,81,False
7_0/7_0_0 to AllUsers/Transmitter1,2060,2139,79,False
7_0/7_0_0 to AllUsers/Transmitter1,2140,2222,82,False
7_0/7_0_0 to AllUsers/Transmitter1,2256,2308,52,False
5_2/5_2_0 to AllUsers/Transmitter1,3114,3185,71,False
5_2/5_2_0 to AllUsers/Transmitter1,3378,3417,39,False
5_2/5_2_0 to AllUsers/Transmitter1,3582,3702,120,False
3_1/3_1_0 to AllUsers/Transmitter1,4497,4596,99,False
3_1/3_1_0 to AllUsers/Transmitter1,4623,4671,48,False
3_1/3_1_0 to AllUsers/Transmitter1,4717,4745,28,False
3_1/3_1_0 to AllUsers/Transmitter1,4798,4885,87,False
3_1/3_1_0 to AllUsers/Transmitter1,4964,4971,7,False
4_0/4_0_0 to AllUsers/Transmitter1,5369,5437,68,False
4_0/4_0_0 to AllUsers/Transmitter1,5461,5532,71,False
4_0/4_0_0 to AllUsers/Transmitter1,5558,5617,59,False
2_2/2_2_0 to AllUsers/Transmitter1,6530,6636,106,False
2_2/2_2_0 to AllUsers/Transmitter1,6941,7014,73,False
0_1/0_1_0 to AllUsers/Transmitter1,7813,7864,51,False
0_1/0_1_0 to AllUsers/Transmitter1,7919,7991,72,False
0_1/0_1_0 to AllUsers/Transmitter1,8193,8237,44,False
0_1/0_1_0 to AllUsers/Transmitter1,8271,8386,115,False
1_0/1_0_0 to AllUsers/Transmitter1,8778,8792,14,False
1_0/1_0_0 to AllUsers/Transmitter1,8868,8907,39,False
7_1/7_1_0 to AllUsers/Transmitter1,9883,10012,129,False
7_1/7_1_0 to AllUsers/Transmitter1,10027,10048,21,False
7_1/7_1_0 to AllUsers/Transmitter1,10330,10455,125,False
5_0/5_0_0 to AllUsers/Transmitter1,11190,11328,138,False
5_0/5_0_0 to AllUsers/Transmitter1,11637,11750,113,False
3_2/3_2_0 to AllUsers/Transmitter1,12715,12761,46,False
3_2/3_2_0 to AllUsers/Transmitter1,12867,12909,42,False
4_1/4_1_0 to AllUsers/Transmitter1,13289,13332,43,False
4_1/4_1_0 to AllUsers/Transmitter1,13363,13458,95,False
4_1/4_1_0 to AllUsers/Transmitter1,13477,13493,16,False
4_1/4_1_0 to AllUsers/Transmitter1,13670,13738,68,False
4_1/4_1_0 to AllUsers/Transmitter1,13769,13861,92,False
2_0/2_0_0 to AllUsers/Transmitter1,14621,14726,105,False
0_2/0_2_0 to AllUsers/Transmitter1,16096,16170,74,False
0_2/0_2_0 to AllUsers/Transmitter1,16233,16307,74,False
1_1/1_1_0 to AllUsers/Transmitter1,16730,16901,171,False
1_1/1_1_0 to AllUsers/Transmitter1,16912,16960,48,False
1_1/1_1_0 to AllUsers/Transmitter1,16982,17034,52,False
1_1/1_1_0 to AllUsers/Transmitter1,17064,17158,94,False
7_2/7_2_0 to AllUsers/Transmitter1,18020,18063,43,False
7_2/7_2_0 to AllUsers/Transmitter1,18243,18304,61,False
7_2/7_2_0 to AllUsers/Transmitter1,18455,18584,129,False
5_1/5_1_0 to AllUsers/Transmitter1,19377,19462,85,False
5_1/5_1_0 to AllUsers/Transmitter1,19494,19574,80,False
5_1/5_1_0 to AllUsers/Transmitter1,19615,19697,82,False
5_1/5_1_0 to AllUsers/Transmitter1,19743,19803,60,False
6_0/6_0_0 to AllUsers/Transmitter1,20123,20175,52,False
6_0/6_0_0 to AllUsers/Transmitter1,20200,20286,86,False
6_0/6_0_0 to AllUsers/Transmitter1,20287,20364,77,False
6_0/6_0_0 to AllUsers/Transmitter1,20368,20446,78,False
6_0/6_0_0 to AllUsers/Transmitter1,20478,20565,87,False
4_2/4_2_0 to AllUsers/Transmitter1,21347,21502,155,False
4_2/4_2_0 to AllUsers/Transmitter1,21632,21705,73,False
4_2/4_2_0 to AllUsers/Transmitter1,21839,21979,140,False
2_1/2_1_0 to AllUsers/Transmitter1,22780,22876,96,False
2_1/2_1_0 to AllUsers/Transmitter1,22898,22963,65,False
2_1/2_1_0 to AllUsers/Transmitter1,23005,23074,69,False
2_1/2_1_0 to AllUsers/Transmitter1,23098,23191,93,False
3_0/3_0_0 to AllUsers/Transmitter1,23587,23658,71,False
3_0/3_0_0 to AllUsers/Transmitter1,23676,23754,78,False
3_0/3_0_0 to AllUsers/Transmitter1,23767,23846,79,False
3_0/3_0_0 to AllUsers/Transmitter1,23924,23947,23,False
1_2/1_2_0 to AllUsers/Transmitter1,24763,24848,85,False
1_2/1_2_0 to AllUsers/Transmitter1,25243,25260,17,False
7_0/7_0_0 to AllUsers/Transmitter1,26199,26276,77,False
7_0/7_0_0 to AllUsers/Transmitter1,26472,26561,89,False
0_0/0_0_0 to AllUsers/Transmitter1,27069,27133,64,False
0_0/0_0_0 to AllUsers/Transmitter1,27171,27233,62,False
6_1/6_1_0 to AllUsers/Transmitter1,28201,28306,105,False
6_1/6_1_0 to AllUsers/Transmitter1,28604,28735,131,False
4_0/4_0_0 to AllUsers/Transmitter1,29469,29591,122,False
4_0/4_0_0 to AllUsers/Transmitter1,29884,29899,15,False
4_0/4_0_0 to AllUsers/Transmitter1,29944,30062,118,False
2_2/2_2_0 to AllUsers/Transmitter1,31103,31116,13,False
3_1/3_1_0 to AllUsers/Transmitter1,31560,31678,118,False
3_1/3_1_0 to AllUsers/Transmitter1,31957,32003,46,False
3_1/3_1_0 to AllUsers/Transmitter1,32034,32145,111,False
1_0/1_0_0 to AllUsers/Transmitter1,32882,33003,121,False
1_0/1_0_0 to AllUsers/Transmitter1,33305,33428,123,False
7_1/7_1_0 to AllUsers/Transmitter1,34351,34403,52,False
7_1/7_1_0 to AllUsers/Transmitter1,34464,34531,67,False
